data,genere,regista,anno,durata,eta,costo
"2027-8-22 14:00","The Others",Horror,"Alejandro Amenábar",2001,101,12,7.5
"2027-8-22 10:00","Kal Ho Naa Ho",Comedy,"Nikkhil Advani",2003,186,0,8.5
"2027-8-21 16:00","Swades: We, the People",Drama,"Ashutosh Gowariker",2004,210,0,8.5
"2027-8-21 13:00","All That Jazz",Drama,"Bob Fosse",1979,123,12,6.5
"2027-8-21 10:00","All That Jazz",Drama,"Bob Fosse",1979,123,12,7.5
"2027-8-20 10:00","Jeux d'enfants",Comedy,"Yann Samuell",2003,93,16,6.5
"2027-8-19 10:00","Amadeus",Biography,"Milos Forman",1984,160,16,7.0
"2027-8-18 10:00","Sholay",Action,"Ramesh Sippy",1975,204,0,7.5
"2027-8-17 15:30","Der Name der Rose",Crime,"Jean-Jacques Annaud",1986,130,16,8.5
"2027-8-17 13:00","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,8.5
"2027-8-17 10:00","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,8.5
"2027-8-16 13:30","Jeux d'enfants",Comedy,"Yann Samuell",2003,93,16,7.0
"2027-8-16 10:30","Aliens",Action,"James Cameron",1986,137,0,6.5
"2027-8-15 18:00","The Killing Fields",Biography,"Roland Joffé",1984,141,12,9.0
"2027-8-15 15:00","8½",Drama,"Federico Fellini",1963,138,12,8.5
"2027-8-15 10:30","Sholay",Action,"Ramesh Sippy",1975,204,0,6.5
"2027-8-14 16:30","Indiana Jones and the Last Crusade",Action,"Steven Spielberg",1989,127,0,6.5
"2027-8-14 13:00","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,8.5
"2027-8-14 10:00","Planet of the Apes",Adventure,"Franklin J. Schaffner",1968,112,0,8.0
"2027-8-13 10:30","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,6.5
"2027-8-12 10:30","Gone with the Wind",Drama,"Victor Fleming",1939,238,0,7.5
"2027-8-11 16:00","Sholay",Action,"Ramesh Sippy",1975,204,0,6.5
"2027-8-11 13:00","Lat sau san taam",Action,"John Woo",1992,128,16,7.5
"2027-8-11 10:00","Casino Royale",Action,"Martin Campbell",2006,144,12,8.0
"2027-8-10 15:30","Indiana Jones and the Last Crusade",Action,"Steven Spielberg",1989,127,0,7.0
"2027-8-10 12:30","Lat sau san taam",Action,"John Woo",1992,128,16,8.5
"2027-8-10 10:30","Once",Drama,"John Carney",2007,86,16,7.0
"2027-8-9 16:30","Planet of the Apes",Adventure,"Franklin J. Schaffner",1968,112,0,6.5
"2027-8-9 14:00","Once",Drama,"John Carney",2007,86,16,7.5
"2027-8-9 10:00","Barry Lyndon",Adventure,"Stanley Kubrick",1975,185,6,8.0
"2027-8-8 19:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,10.0
"2027-8-8 16:00","Saving Private Ryan",Drama,"Steven Spielberg",1998,169,16,8.5
"2027-8-8 13:00","Sen to Chihiro no kamikakushi",Animation,"Hayao Miyazaki",2001,125,0,7.5
"2027-8-8 10:00","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,7.5
"2027-8-7 19:30","The Gold Rush",Adventure,"Charles Chaplin",1925,95,12,8.5
"2027-8-7 17:00","Do lok tin si",Comedy,"Kar-Wai Wong",1995,99,12,8.5
"2027-8-7 13:30","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,7.5
"2027-8-7 10:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,6.5
"2027-8-6 13:00","Barry Lyndon",Adventure,"Stanley Kubrick",1975,185,6,8.0
"2027-8-6 10:00","Sen to Chihiro no kamikakushi",Animation,"Hayao Miyazaki",2001,125,0,7.5
"2027-8-5 10:30","Aliens",Action,"James Cameron",1986,137,0,7.0
"2027-8-4 15:30","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,8.0
"2027-8-4 13:00","The Gold Rush",Adventure,"Charles Chaplin",1925,95,12,7.0
"2027-8-4 10:00","Sen to Chihiro no kamikakushi",Animation,"Hayao Miyazaki",2001,125,0,7.5
"2027-8-3 16:30","Aliens",Action,"James Cameron",1986,137,0,8.0
"2027-8-3 13:30","The Killing Fields",Biography,"Roland Joffé",1984,141,12,6.5
"2027-8-3 10:30","Indiana Jones and the Last Crusade",Action,"Steven Spielberg",1989,127,0,7.0
"2027-8-2 10:30","The Muppet Movie",Adventure,"James Frawley",1979,95,0,8.0
"2027-8-1 18:00","Swades: We, the People",Drama,"Ashutosh Gowariker",2004,210,0,9.0
"2027-8-1 15:00","The Game",Action,"David Fincher",1997,129,12,7.0
"2027-8-1 10:00","Gone with the Wind",Drama,"Victor Fleming",1939,238,0,7.5
"2027-7-31 19:30","The Game",Action,"David Fincher",1997,129,12,9.0
"2027-7-31 16:30","The Game",Action,"David Fincher",1997,129,12,8.0
"2027-7-31 13:00","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,7.0
"2027-7-31 10:30","Finding Neverland",Biography,"Marc Forster",2004,106,0,8.5
"2027-7-30 16:00","Aliens",Action,"James Cameron",1986,137,0,8.0
"2027-7-30 13:00","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,7.5
"2027-7-30 10:00","Control",Biography,"Anton Corbijn",2007,122,16,8.5
"2027-7-29 10:30","The Illusionist",Drama,"Neil Burger",2006,110,0,6.5
"2027-7-28 16:00","Star Wars: Episode VI - Return of the Jedi",Action,"Richard Marquand",1983,131,0,7.5
"2027-7-28 13:00","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,7.5
"2027-7-28 10:30","Finding Neverland",Biography,"Marc Forster",2004,106,0,7.5
"2027-7-27 10:00","Star Wars: Episode VI - Return of the Jedi",Action,"Richard Marquand",1983,131,0,8.0
"2027-7-26 10:30","Philadelphia",Drama,"Jonathan Demme",1993,125,12,6.5
"2027-7-25 19:30","Le locataire",Drama,"Roman Polanski",1976,126,16,8.5
"2027-7-25 16:30","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,8.0
"2027-7-25 13:30","The Game",Action,"David Fincher",1997,129,12,8.5
"2027-7-25 10:30","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,7.5
"2027-7-24 19:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,10.0
"2027-7-24 16:00","The Bridges of Madison County",Drama,"Clint Eastwood",1995,135,12,8.0
"2027-7-24 13:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,8.5
"2027-7-24 10:00","Le locataire",Drama,"Roman Polanski",1976,126,16,8.5
"2027-7-23 14:30","The Birds",Drama,"Alfred Hitchcock",1963,119,12,7.0
"2027-7-23 12:30","Zelig",Comedy,"Woody Allen",1983,79,6,8.0
"2027-7-23 10:00","Toy Story 2",Animation,"John Lasseter",1999,92,0,8.0
"2027-7-22 10:00","Batman Begins",Action,"Christopher Nolan",2005,140,12,8.5
"2027-7-21 16:30","The Birds",Drama,"Alfred Hitchcock",1963,119,12,7.0
"2027-7-21 13:30","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,7.5
"2027-7-21 10:30","The Game",Action,"David Fincher",1997,129,12,8.5
"2027-7-20 15:30","Stand by Me",Adventure,"Rob Reiner",1986,89,0,6.5
"2027-7-20 12:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,7.5
"2027-7-20 10:00","Finding Nemo",Animation,"Andrew Stanton",2003,100,0,8.0
"2027-7-19 13:00","Zelig",Comedy,"Woody Allen",1983,79,6,7.5
"2027-7-19 10:00","Ed Wood",Biography,"Tim Burton",1994,127,0,8.5
"2027-7-18 17:00","Zelig",Comedy,"Woody Allen",1983,79,6,7.5
"2027-7-18 14:00","Rio Bravo",Action,"Howard Hawks",1959,141,12,8.0
"2027-7-18 10:00","Barry Lyndon",Adventure,"Stanley Kubrick",1975,185,6,6.5
"2027-7-17 19:00","Planet of the Apes",Adventure,"Franklin J. Schaffner",1968,112,0,10.0
"2027-7-17 16:00","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,8.5
"2027-7-17 13:00","Casino Royale",Action,"Martin Campbell",2006,144,12,7.5
"2027-7-17 10:00","Le locataire",Drama,"Roman Polanski",1976,126,16,6.5
"2027-7-16 10:30","Blazing Saddles",Comedy,"Mel Brooks",1974,93,12,6.5
"2027-7-15 12:30","Rocky",Drama,"John G. Avildsen",1976,120,0,7.5
"2027-7-15 10:00","Do lok tin si",Comedy,"Kar-Wai Wong",1995,99,12,8.5
"2027-7-14 10:30","Control",Biography,"Anton Corbijn",2007,122,16,8.0
"2027-7-13 10:00","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,8.5
"2027-7-12 13:00","Ladri di biciclette",Drama,"Vittorio De Sica",1948,89,12,8.5
"2027-7-12 10:00","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,8.0
"2027-7-11 18:30","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,10.0
"2027-7-11 16:00","Det sjunde inseglet",Drama,"Ingmar Bergman",1957,96,12,7.5
"2027-7-11 13:00","Rio Bravo",Action,"Howard Hawks",1959,141,12,8.5
"2027-7-11 10:30","Lock, Stock and Two Smoking Barrels",Action,"Guy Ritchie",1998,107,12,7.0
"2027-7-10 19:00","The Birds",Drama,"Alfred Hitchcock",1963,119,12,9.5
"2027-7-10 16:00","Fantasia",Animation,"James Algar",1940,125,0,8.0
"2027-7-10 13:00","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,7.0
"2027-7-10 10:00","Happiness",Comedy,"Todd Solondz",1998,134,12,8.0
"2027-7-9 16:30","Who's Afraid of Virginia Woolf?",Drama,"Mike Nichols",1966,131,12,8.0
"2027-7-9 13:30","Ikiru",Drama,"Akira Kurosawa",1952,143,12,8.5
"2027-7-9 10:00","Once Upon a Time in the West",Western,"Sergio Leone",1968,165,0,8.0
"2027-7-8 13:30","Gone with the Wind",Drama,"Victor Fleming",1939,238,0,7.0
"2027-7-8 10:30","Casino Royale",Action,"Martin Campbell",2006,144,12,7.5
"2027-7-7 16:00","Interstate 60: Episodes of the Road",Adventure,"Bob Gale",2002,116,16,6.5
"2027-7-7 13:00","The Birds",Drama,"Alfred Hitchcock",1963,119,12,7.0
"2027-7-7 10:00","The Bridges of Madison County",Drama,"Clint Eastwood",1995,135,12,8.0
"2027-7-6 10:00","Happiness",Comedy,"Todd Solondz",1998,134,12,8.5
"2027-7-5 13:30","American Gangster",Biography,"Ridley Scott",2007,157,12,8.0
"2027-7-5 10:30","Fantasia",Animation,"James Algar",1940,125,0,7.0
"2027-7-4 18:00","Match Point",Drama,"Woody Allen",2005,124,16,10.0
"2027-7-4 15:00","The Illusionist",Drama,"Neil Burger",2006,110,0,7.5
"2027-7-4 10:00","Gone with the Wind",Drama,"Victor Fleming",1939,238,0,7.0
"2027-7-3 19:00","Toy Story 2",Animation,"John Lasseter",1999,92,0,8.5
"2027-7-3 16:30","Stand by Me",Adventure,"Rob Reiner",1986,89,0,6.5
"2027-7-3 13:00","Once Upon a Time in the West",Western,"Sergio Leone",1968,165,0,8.5
"2027-7-3 10:00","Batman Begins",Action,"Christopher Nolan",2005,140,12,8.5
"2027-7-2 13:30","Serenity",Action,"Joss Whedon",2005,119,12,8.5
"2027-7-2 10:30","Match Point",Drama,"Woody Allen",2005,124,16,6.5
"2027-7-1 10:00","Rocky",Drama,"John G. Avildsen",1976,120,0,8.5
"2027-6-30 13:00","The Muppet Movie",Adventure,"James Frawley",1979,95,0,6.5
"2027-6-30 10:30","Gongdong gyeongbi guyeok JSA",Action,"Chan-wook Park",2000,110,12,8.5
"2027-6-29 13:00","The Illusionist",Drama,"Neil Burger",2006,110,0,8.5
"2027-6-29 10:00","The Killing Fields",Biography,"Roland Joffé",1984,141,12,8.5
"2027-6-28 16:00","The Muppet Christmas Carol",Comedy,"Brian Henson",1992,85,0,8.0
"2027-6-28 13:00","Sleepers",Crime,"Barry Levinson",1996,147,12,7.0
"2027-6-28 10:30","Hedwig and the Angry Inch",Comedy,"John Cameron Mitchell",2001,95,16,7.5
"2027-6-27 18:30","La montaña sagrada",Adventure,"Alejandro Jodorowsky",1973,114,16,10.0
"2027-6-27 15:00","American Gangster",Biography,"Ridley Scott",2007,157,12,6.5
"2027-6-27 12:00","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,8.5
"2027-6-27 10:00","Stand by Me",Adventure,"Rob Reiner",1986,89,0,6.5
"2027-6-26 19:30","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,8.5
"2027-6-26 16:30","Fantasia",Animation,"James Algar",1940,125,0,8.0
"2027-6-26 13:00","Once Upon a Time in the West",Western,"Sergio Leone",1968,165,0,8.0
"2027-6-26 10:00","Who's Afraid of Virginia Woolf?",Drama,"Mike Nichols",1966,131,12,7.0
"2027-6-25 10:30","Gongdong gyeongbi guyeok JSA",Action,"Chan-wook Park",2000,110,12,7.5
"2027-6-24 10:00","The Illusionist",Drama,"Neil Burger",2006,110,0,7.5
"2027-6-23 13:30","The Incredibles",Animation,"Brad Bird",2004,115,0,7.0
"2027-6-23 10:30","Match Point",Drama,"Woody Allen",2005,124,16,7.0
"2027-6-22 10:30","Enemy at the Gates",Drama,"Jean-Jacques Annaud",2001,131,12,6.5
"2027-6-21 13:00","Ladri di biciclette",Drama,"Vittorio De Sica",1948,89,12,7.5
"2027-6-21 10:30","Blazing Saddles",Comedy,"Mel Brooks",1974,93,12,7.0
"2027-6-20 18:30","Twelve Monkeys",Mystery,"Terry Gilliam",1995,129,12,10.0
"2027-6-20 15:30","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,6.5
"2027-6-20 13:00","Det sjunde inseglet",Drama,"Ingmar Bergman",1957,96,12,6.5
"2027-6-20 10:00","Ed Wood",Biography,"Tim Burton",1994,127,0,7.5
"2027-6-19 18:00","Lost in Translation",Comedy,"Sofia Coppola",2003,102,12,9.5
"2027-6-19 15:30","Hedwig and the Angry Inch",Comedy,"John Cameron Mitchell",2001,95,16,7.0
"2027-6-19 12:30","Happiness",Comedy,"Todd Solondz",1998,134,12,7.0
"2027-6-19 10:00","Blazing Saddles",Comedy,"Mel Brooks",1974,93,12,7.0
"2027-6-18 16:30","Happiness",Comedy,"Todd Solondz",1998,134,12,7.5
"2027-6-18 13:30","Rio Bravo",Action,"Howard Hawks",1959,141,12,7.5
"2027-6-18 10:30","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,7.5
"2027-6-17 14:00","Gattaca",Drama,"Andrew Niccol",1997,106,12,7.5
"2027-6-17 10:30","Munna Bhai M.B.B.S.",Comedy,"Rajkumar Hirani",2003,156,0,7.0
"2027-6-16 10:30","Lost in Translation",Comedy,"Sofia Coppola",2003,102,12,8.0
"2027-6-15 16:30","Tombstone",Action,"George P. Cosmatos",1993,130,16,7.0
"2027-6-15 12:30","The Thin Red Line",Drama,"Terrence Malick",1998,170,12,7.0
"2027-6-15 10:00","The Illusionist",Drama,"Neil Burger",2006,110,0,7.0
"2027-6-14 16:00","The Muppet Christmas Carol",Comedy,"Brian Henson",1992,85,0,7.0
"2027-6-14 13:00","The Incredibles",Animation,"Brad Bird",2004,115,0,7.5
"2027-6-14 10:00","Match Point",Drama,"Woody Allen",2005,124,16,6.5
"2027-6-13 16:30","Munna Bhai M.B.B.S.",Comedy,"Rajkumar Hirani",2003,156,0,7.5
"2027-6-13 14:00","The Muppet Christmas Carol",Comedy,"Brian Henson",1992,85,0,8.5
"2027-6-13 10:00","The Thin Red Line",Drama,"Terrence Malick",1998,170,12,8.5
"2027-6-12 18:00","The Illusionist",Drama,"Neil Burger",2006,110,0,9.5
"2027-6-12 15:30","Lock, Stock and Two Smoking Barrels",Action,"Guy Ritchie",1998,107,12,8.5
"2027-6-12 13:00","Gattaca",Drama,"Andrew Niccol",1997,106,12,8.0
"2027-6-12 10:00","Rocky",Drama,"John G. Avildsen",1976,120,0,8.5
"2027-6-11 10:30","Enemy at the Gates",Drama,"Jean-Jacques Annaud",2001,131,12,8.5
"2027-6-10 10:30","Match Point",Drama,"Woody Allen",2005,124,16,7.0
"2027-6-9 16:00","The Killing Fields",Biography,"Roland Joffé",1984,141,12,7.5
"2027-6-9 13:00","Enemy at the Gates",Drama,"Jean-Jacques Annaud",2001,131,12,7.5
"2027-6-9 10:30","Gattaca",Drama,"Andrew Niccol",1997,106,12,7.5
"2027-6-8 15:30","La montaña sagrada",Adventure,"Alejandro Jodorowsky",1973,114,16,8.0
"2027-6-8 13:00","Lost in Translation",Comedy,"Sofia Coppola",2003,102,12,7.0
"2027-6-8 10:00","Happiness",Comedy,"Todd Solondz",1998,134,12,7.5
"2027-6-7 16:00","La montaña sagrada",Adventure,"Alejandro Jodorowsky",1973,114,16,7.5
"2027-6-7 13:00","The Bridges of Madison County",Drama,"Clint Eastwood",1995,135,12,6.5
"2027-6-7 10:00","Happiness",Comedy,"Todd Solondz",1998,134,12,8.0
"2027-6-6 15:30","La haine",Crime,"Mathieu Kassovitz",1995,98,12,8.0
"2027-6-6 12:30","Who's Afraid of Virginia Woolf?",Drama,"Mike Nichols",1966,131,12,7.0
"2027-6-6 10:00","Hedwig and the Angry Inch",Comedy,"John Cameron Mitchell",2001,95,16,8.0
"2027-6-5 15:00","King Kong",Adventure,"Merian C. Cooper",1933,100,12,7.0
"2027-6-5 12:30","Dazed and Confused",Comedy,"Richard Linklater",1993,102,0,6.5
"2027-6-5 10:30","Stand by Me",Adventure,"Rob Reiner",1986,89,0,7.0
"2027-6-4 16:00","The Thin Red Line",Drama,"Terrence Malick",1998,170,12,7.5
"2027-6-4 13:00","Escape from Alcatraz",Action,"Don Siegel",1979,112,12,7.5
"2027-6-4 10:00","The Elephant Man",Biography,"David Lynch",1980,124,12,8.5
"2027-6-3 13:00","Happiness",Comedy,"Todd Solondz",1998,134,12,6.5
"2027-6-3 10:30","Det sjunde inseglet",Drama,"Ingmar Bergman",1957,96,12,8.5
"2027-6-2 16:30","Ikiru",Drama,"Akira Kurosawa",1952,143,12,6.5
"2027-6-2 14:00","Dazed and Confused",Comedy,"Richard Linklater",1993,102,0,6.5
"2027-6-2 10:30","The Thin Red Line",Drama,"Terrence Malick",1998,170,12,7.5
"2027-6-1 16:00","Ikiru",Drama,"Akira Kurosawa",1952,143,12,8.5
"2027-6-1 13:30","The Muppet Christmas Carol",Comedy,"Brian Henson",1992,85,0,7.0
"2027-6-1 10:00","Sleepers",Crime,"Barry Levinson",1996,147,12,6.5
"2027-5-31 13:00","Twelve Monkeys",Mystery,"Terry Gilliam",1995,129,12,6.5
"2027-5-31 10:00","Tropa de Elite",Action,"José Padilha",2007,115,16,7.5
"2027-5-30 16:00","Tropa de Elite",Action,"José Padilha",2007,115,16,8.0
"2027-5-30 13:30","First Blood",Action,"Ted Kotcheff",1982,93,12,8.0
"2027-5-30 10:30","Happiness",Comedy,"Todd Solondz",1998,134,12,7.0
"2027-5-29 18:30","North by Northwest",Adventure,"Alfred Hitchcock",1959,136,0,8.5
"2027-5-29 16:00","Lost in Translation",Comedy,"Sofia Coppola",2003,102,12,8.5
"2027-5-29 12:30","Munna Bhai M.B.B.S.",Comedy,"Rajkumar Hirani",2003,156,0,8.5
"2027-5-29 10:00","Gongdong gyeongbi guyeok JSA",Action,"Chan-wook Park",2000,110,12,8.5
"2027-5-28 13:00","Dazed and Confused",Comedy,"Richard Linklater",1993,102,0,8.5
"2027-5-28 10:30","Hedwig and the Angry Inch",Comedy,"John Cameron Mitchell",2001,95,16,7.0
"2027-5-27 12:30","Badlands",Action,"Terrence Malick",1973,94,6,6.5
"2027-5-27 10:00","Badlands",Action,"Terrence Malick",1973,94,6,8.5
"2027-5-26 13:00","Mystic River",Crime,"Clint Eastwood",2003,138,12,7.0
"2027-5-26 10:30","Le scaphandre et le papillon",Biography,"Julian Schnabel",2007,112,12,7.0
"2027-5-25 10:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,7.0
"2027-5-24 10:30","Who's Afraid of Virginia Woolf?",Drama,"Mike Nichols",1966,131,12,7.0
"2027-5-23 17:30","Heat",Crime,"Michael Mann",1995,170,12,7.0
"2027-5-23 14:00","The Last Samurai",Action,"Edward Zwick",2003,154,12,8.0
"2027-5-23 10:30","Cast Away",Adventure,"Robert Zemeckis",2000,143,12,6.5
"2027-5-22 16:30","First Blood",Action,"Ted Kotcheff",1982,93,12,7.0
"2027-5-22 13:00","Mystic River",Crime,"Clint Eastwood",2003,138,12,6.5
"2027-5-22 10:30","Snatch",Comedy,"Guy Ritchie",2000,104,12,7.0
"2027-5-21 12:30","Dazed and Confused",Comedy,"Richard Linklater",1993,102,0,6.5
"2027-5-21 10:00","Sunset Blvd.",Drama,"Billy Wilder",1950,110,12,8.0
"2027-5-20 15:30","Tombstone",Action,"George P. Cosmatos",1993,130,16,6.5
"2027-5-20 13:00","Tropa de Elite",Action,"José Padilha",2007,115,16,7.0
"2027-5-20 10:30","Dazed and Confused",Comedy,"Richard Linklater",1993,102,0,7.0
"2027-5-19 10:00","Braveheart",Biography,"Mel Gibson",1995,178,12,6.5
"2027-5-18 15:00","Gattaca",Drama,"Andrew Niccol",1997,106,12,8.5
"2027-5-18 12:30","Snatch",Comedy,"Guy Ritchie",2000,104,12,8.5
"2027-5-18 10:00","Badlands",Action,"Terrence Malick",1973,94,6,7.0
"2027-5-17 14:00","Brief Encounter",Drama,"David Lean",1945,86,0,7.5
"2027-5-17 10:00","The Lord of the Rings: The Two Towers",Action,"Peter Jackson",2002,179,12,8.0
"2027-5-16 18:30","First Blood",Action,"Ted Kotcheff",1982,93,12,8.5
"2027-5-16 16:00","King Kong",Adventure,"Merian C. Cooper",1933,100,12,7.5
"2027-5-16 13:00","All the President's Men",Biography,"Alan J. Pakula",1976,138,0,6.5
"2027-5-16 10:30","King Kong",Adventure,"Merian C. Cooper",1933,100,12,8.5
"2027-5-15 19:30","Tropa de Elite",Action,"José Padilha",2007,115,16,9.5
"2027-5-15 16:00","Heat",Crime,"Michael Mann",1995,170,12,8.5
"2027-5-15 13:30","La haine",Crime,"Mathieu Kassovitz",1995,98,12,8.0
"2027-5-15 10:00","Cast Away",Adventure,"Robert Zemeckis",2000,143,12,7.0
"2027-5-14 10:00","Twelve Monkeys",Mystery,"Terry Gilliam",1995,129,12,7.5
"2027-5-13 10:30","Mystic River",Crime,"Clint Eastwood",2003,138,12,6.5
"2027-5-12 10:00","All the President's Men",Biography,"Alan J. Pakula",1976,138,0,8.5
"2027-5-11 12:30","Rain Man",Drama,"Barry Levinson",1988,133,0,8.0
"2027-5-11 10:00","Fa yeung nin wah",Drama,"Kar-Wai Wong",2000,98,0,7.0
"2027-5-10 12:30","Dom za vesanje",Comedy,"Emir Kusturica",1988,142,16,6.5
"2027-5-10 10:00","First Blood",Action,"Ted Kotcheff",1982,93,12,8.0
"2027-5-9 20:00","Brief Encounter",Drama,"David Lean",1945,86,0,9.5
"2027-5-9 17:30","Dark City",Mystery,"Alex Proyas",1998,100,12,8.0
"2027-5-9 14:30","Dom za vesanje",Comedy,"Emir Kusturica",1988,142,16,7.5
"2027-5-9 10:30","Gandhi",Biography,"Richard Attenborough",1982,191,0,7.5
"2027-5-8 16:30","First Blood",Action,"Ted Kotcheff",1982,93,12,7.5
"2027-5-8 13:30","Vertigo",Mystery,"Alfred Hitchcock",1958,128,12,8.5
"2027-5-8 10:30","A Streetcar Named Desire",Drama,"Elia Kazan",1951,122,12,8.0
"2027-5-7 12:30","King Kong",Adventure,"Merian C. Cooper",1933,100,12,8.0
"2027-5-7 10:00","Escape from Alcatraz",Action,"Don Siegel",1979,112,12,6.5
"2027-5-6 16:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,8.5
"2027-5-6 13:00","Cabaret",Drama,"Bob Fosse",1972,124,12,8.0
"2027-5-6 10:00","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,8.5
"2027-5-5 10:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,8.5
"2027-5-4 10:30","Gandhi",Biography,"Richard Attenborough",1982,191,0,6.5
"2027-5-3 10:00","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,6.5
"2027-5-2 21:00","Badlands",Action,"Terrence Malick",1973,94,6,8.5
"2027-5-2 17:00","Gandhi",Biography,"Richard Attenborough",1982,191,0,6.5
"2027-5-2 13:00","Heat",Crime,"Michael Mann",1995,170,12,7.0
"2027-5-2 10:00","Seppuku",Action,"Masaki Kobayashi",1962,133,12,7.5
"2027-5-1 16:00","Snatch",Comedy,"Guy Ritchie",2000,104,12,7.5
"2027-5-1 13:30","La haine",Crime,"Mathieu Kassovitz",1995,98,12,6.5
"2027-5-1 10:00","Heat",Crime,"Michael Mann",1995,170,12,7.0
"2027-4-30 14:00","The Red Shoes",Drama,"Michael Powell",1948,135,12,8.5
"2027-4-30 10:00","The Right Stuff",Adventure,"Philip Kaufman",1983,193,6,7.5
"2027-4-29 14:30","Cast Away",Adventure,"Robert Zemeckis",2000,143,12,8.0
"2027-4-29 10:30","The Lord of the Rings: The Two Towers",Action,"Peter Jackson",2002,179,12,7.0
"2027-4-28 15:30","Duck Soup",Comedy,"Leo McCarey",1933,69,12,8.5
"2027-4-28 12:30","Cabaret",Drama,"Bob Fosse",1972,124,12,7.5
"2027-4-28 10:00","The Night of the Hunter",Crime,"Charles Laughton",1955,92,12,8.0
"2027-4-27 15:30","Dom za vesanje",Comedy,"Emir Kusturica",1988,142,16,7.5
"2027-4-27 13:00","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.5
"2027-4-27 10:30","Cowboy Bebop: Tengoku no tobira",Animation,"Shin'ichirô Watanabe",2001,115,0,6.5
"2027-4-26 15:00","Dà hóng denglong gaogao guà",Drama,"Yimou Zhang",1991,125,6,8.0
"2027-4-26 12:00","Escape from Alcatraz",Action,"Don Siegel",1979,112,12,8.5
"2027-4-26 10:00","Brief Encounter",Drama,"David Lean",1945,86,0,7.5
"2027-4-25 17:00","In a Lonely Place",Drama,"Nicholas Ray",1950,94,12,7.5
"2027-4-25 13:00","The Right Stuff",Adventure,"Philip Kaufman",1983,193,6,8.5
"2027-4-25 10:00","Kakushi-toride no san-akunin",Adventure,"Akira Kurosawa",1958,139,12,8.0
"2027-4-24 17:00","Million Dollar Baby",Drama,"Clint Eastwood",2004,132,12,8.0
"2027-4-24 14:00","Cowboy Bebop: Tengoku no tobira",Animation,"Shin'ichirô Watanabe",2001,115,0,8.5
"2027-4-24 10:00","La dolce vita",Comedy,"Federico Fellini",1960,174,12,8.0
"2027-4-23 15:30","The Lord of the Rings: The Two Towers",Action,"Peter Jackson",2002,179,12,7.0
"2027-4-23 13:00","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,8.5
"2027-4-23 10:30","In a Lonely Place",Drama,"Nicholas Ray",1950,94,12,8.0
"2027-4-22 10:30","Fa yeung nin wah",Drama,"Kar-Wai Wong",2000,98,0,6.5
"2027-4-21 10:30","Mystic River",Crime,"Clint Eastwood",2003,138,12,8.0
"2027-4-20 10:00","The Great Dictator",Comedy,"Charles Chaplin",1940,125,12,7.5
"2027-4-19 10:30","The Color Purple",Drama,"Steven Spielberg",1985,154,0,6.5
"2027-4-18 18:00","October Sky",Biography,"Joe Johnston",1999,108,6,10.0
"2027-4-18 15:30","In a Lonely Place",Drama,"Nicholas Ray",1950,94,12,8.0
"2027-4-18 13:00","Fa yeung nin wah",Drama,"Kar-Wai Wong",2000,98,0,8.5
"2027-4-18 10:30","Willy Wonka & the Chocolate Factory",Family,"Mel Stuart",1971,100,0,8.5
